,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.2485278227931485,0.012091476826430785,-20.55396758896242,7.092290593609737e-94,-0.2722266818928535,-0.2248289636934435
C(year)[T.2016],0.019386384693234872,0.008342943317872269,2.3236864922365377,0.020142302950441185,0.0030345162651461213,0.03573825312132362
C(year)[T.2017],0.015557721371459207,0.007467009126381299,2.0835278366666294,0.03720313706768857,0.0009226524115199686,0.030192790331398447
C(year)[T.2018],0.01969423110711484,0.007060478092624246,2.7893622568829284,0.005281195611784009,0.005855948331937262,0.03353251388229242
C(year)[T.2019],0.04276054483826844,0.006892330314420574,6.204076544155479,5.501900400462533e-10,0.029251825652450485,0.05626926402408639
C(year)[T.2020],0.06108841850216855,0.006909175329895883,8.841636749011132,9.432646425077755e-19,0.04754668369269997,0.07463015331163712
C(year)[T.2021],0.0756663609093664,0.006800090685311654,11.127257622138396,9.243567713123947e-29,0.06233842807454927,0.08899429374418354
C(year)[T.2022],0.08669265297984988,0.006745798550421203,12.851355155637851,8.451656368200921e-38,0.07347113077406181,0.09991417518563794
C(year)[T.2023],0.0783092345304597,0.0067912831964729485,11.530845094360014,9.223384046564325e-31,0.06499856405656065,0.09161990500435874
C(ff12)[T.Consumer Non-Durables],0.020038929337428492,0.008610342853674593,2.3273091069627476,0.019948819420200426,0.003162967449684459,0.036914891225172525
C(ff12)[T.Energy],-0.07825925531143299,0.009140770749616316,-8.56155979130293,1.1135064487926206e-17,-0.09617483677161816,-0.06034367385124782
C(ff12)[T.Finance],-0.11090954488572427,0.0074158184064269965,-14.955806467645345,1.4274195200056095e-50,-0.1254442818782104,-0.09637480789323814
C(ff12)[T.Healthcare],0.0349924708405314,0.007866476303028771,4.448303089282619,8.655134312320396e-06,0.019574460601357216,0.05041048107970558
C(ff12)[T.Manufacturing],0.026244359706325517,0.007140274411662441,3.6755393691116067,0.00023734743449424703,0.012249679019734208,0.04023904039291683
C(ff12)[T.Other],-0.024649712589978518,0.007053548475339541,-3.494654169622325,0.0004746763753222131,-0.03847441356485143,-0.010825011615105608
C(ff12)[T.Retail & Services],-0.04454803151784162,0.00766007025610479,-5.815616571184644,6.041079650401683e-09,-0.059561493338853515,-0.029534569696829722
C(ff12)[T.Technology],0.0419246235072731,0.007194632441383969,5.827208526473164,5.636216976241783e-09,0.02782340304015704,0.05602584397438916
C(ff12)[T.Telecom],-0.1472343064130568,0.011657619704160493,-12.629877294805755,1.4450339642029145e-36,-0.17008282117867585,-0.12438579164743774
C(ff12)[T.Utilities],-0.00784723770428251,0.008516537575476163,-0.9214117397754532,0.35683550182402257,-0.024539344625197863,0.008844869216632842
lag_size,0.0753173651154139,0.0007191219364023325,104.73517953327394,0.0,0.07390791201957263,0.07672681821125517
lag_profit_margin,-0.0003481588172544634,0.000494254893203918,-0.7044114727880322,0.4811765632879236,-0.0013168806071168335,0.0006205629726079066
lag_asset_turnover,0.04196150429201579,0.0027483059805276594,15.268134112184777,1.2469010067386522e-52,0.03657492355168554,0.04734808503234604
lag_lev,-0.009122101146897103,0.006744959756697605,-1.3524322569662548,0.17623707620114837,-0.022341979347196454,0.004097777053402248
lag_lt_debt_share,0.03880197280632915,0.005494254231652978,7.06228200777221,1.6379014745843934e-12,0.02803343239038253,0.04957051322227578
lag_sale_growth,-0.032806162112122894,0.0037955969218634086,-8.643215490863305,5.4652703240152966e-18,-0.04024539537880627,-0.025366928845439524
