model,model_label,dep_var,variable,coefficient,std_error,t_stat,p_value,sig,n_obs,n_firms,r2,r2_adj
1,Unconditional,future_return,const,0.15543023234374495,0.0085376841506552,18.205198224839098,1.1084883454608564e-70,***,20693,3339,0.000488882414678038,0.0004405758505882096
1,Unconditional,future_return,esg_score,-0.059105190594541536,0.016801927430238436,-3.51776252099327,0.0004410047732036696,***,20693,3339,0.000488882414678038,0.0004405758505882096
2,+ Year FE,future_return,const,0.1368575903867207,0.011816884979014723,11.58152851870542,1.9370693727788247e-30,***,20693,3339,0.07393534524859968,0.07344278148464889
2,+ Year FE,future_return,esg_score,-0.03196470216025785,0.016769741352125733,-1.9060939276923319,0.056723826049443725,*,20693,3339,0.07393534524859968,0.07344278148464889
3,+ Controls + FE,future_return,const,0.29478637367999877,0.057001669161178964,5.171539325391603,2.4584570958921776e-07,***,20693,3339,0.08656226942604195,0.08297251365599256
3,+ Controls + FE,future_return,esg_score,0.09209491946769878,0.023811011671023865,3.8677449215553943,0.00011194211523435226,***,20693,3339,0.08656226942604195,0.08297251365599256
3,+ Controls + FE,future_return,roa,-0.12725079893105462,0.03709597180042101,-3.4303131244457763,0.00061020105802277,***,20693,3339,0.08656226942604195,0.08297251365599256
3,+ Controls + FE,future_return,log_me,-0.019085366905082075,0.0029970774935989346,-6.367992467943859,2.177022868183674e-10,***,20693,3339,0.08656226942604195,0.08297251365599256
3,+ Controls + FE,future_return,lev,0.03571800257474478,0.02194178799479074,1.6278528706605262,0.10365046164901824,,20693,3339,0.08656226942604195,0.08297251365599256
4,+ B/M,future_return,const,0.17322591347384186,0.06095702303937544,2.8417712157948705,0.004514343397575724,***,19716,3249,0.08872988470961019,0.08492383624764255
4,+ B/M,future_return,esg_score,0.06869969637201977,0.02397455913568865,2.865524908433167,0.0041899418081587664,***,19716,3249,0.08872988470961019,0.08492383624764255
4,+ B/M,future_return,roa,-0.12514580987162444,0.04012965498024647,-3.1185369007838855,0.0018334310866796807,***,19716,3249,0.08872988470961019,0.08492383624764255
4,+ B/M,future_return,log_me,-0.01170154825681606,0.0032052358817657913,-3.650760408425722,0.0002655854056396801,***,19716,3249,0.08872988470961019,0.08492383624764255
4,+ B/M,future_return,lev,0.01404794514212418,0.023209780297511064,0.6052597207751523,0.545048725744907,,19716,3249,0.08872988470961019,0.08492383624764255
4,+ B/M,future_return,bm,40.142069489017885,12.46707324750749,3.219847087771253,0.001295229900977329,***,19716,3249,0.08872988470961019,0.08492383624764255
5,+ Earnings news,future_return,const,-0.08653517036969505,0.056720156434461134,-1.5256511231538032,0.12720292693128715,,16537,2980,0.0935868597638555,0.08906966774371661
5,+ Earnings news,future_return,esg_score,0.04334607475301227,0.024910236981524708,1.7400908223057434,0.08194633809185896,*,16537,2980,0.0935868597638555,0.08906966774371661
5,+ Earnings news,future_return,roa,-0.11097110508071978,0.04562522169740484,-2.4322315805214334,0.015064637784928947,**,16537,2980,0.0935868597638555,0.08906966774371661
5,+ Earnings news,future_return,log_me,-0.005183007646126449,0.0033123379519088164,-1.5647581017932102,0.11774585325195776,,16537,2980,0.0935868597638555,0.08906966774371661
5,+ Earnings news,future_return,lev,0.04081739881831972,0.025134332551779687,1.6239698720557258,0.10448803486482433,,16537,2980,0.0935868597638555,0.08906966774371661
5,+ Earnings news,future_return,bm,47.49102334197066,13.441738192947822,3.5331013489674064,0.0004169558519245793,***,16537,2980,0.0935868597638555,0.08906966774371661
5,+ Earnings news,future_return,earn_chg,0.04495449468163473,0.060517386692731136,0.7428360201653306,0.45763953653882417,,16537,2980,0.0935868597638555,0.08906966774371661
6,Full model,future_return,const,-0.10202147704635144,0.05563962259781223,-1.8336119528309482,0.06681475917801995,*,16144,2881,0.09951303184484228,0.09485920753868538
6,Full model,future_return,esg_score,0.0403135177374821,0.024759624205553128,1.6281958644768333,0.10359273944884265,,16144,2881,0.09951303184484228,0.09485920753868538
6,Full model,future_return,roa,-0.1845877347084337,0.05179902253826171,-3.563537025666588,0.0003718313696694268,***,16144,2881,0.09951303184484228,0.09485920753868538
6,Full model,future_return,log_me,-0.003671005263870794,0.003289315304955953,-1.1160393344899942,0.26449840489306126,,16144,2881,0.09951303184484228,0.09485920753868538
6,Full model,future_return,lev,0.03865978582324595,0.025297772202778714,1.5281893406803446,0.12657534980751456,,16144,2881,0.09951303184484228,0.09485920753868538
6,Full model,future_return,bm,43.9929630276294,13.262579155202321,3.3170744930387777,0.0009209484394818742,***,16144,2881,0.09951303184484228,0.09485920753868538
6,Full model,future_return,earn_chg,0.05555637086635975,0.06490104260286858,0.8560166160397583,0.3920598014457626,,16144,2881,0.09951303184484228,0.09485920753868538
6,Full model,future_return,sale_growth,-3.435497248127624e-05,2.06902570119843e-05,-1.660442036141794,0.09693441712962925,*,16144,2881,0.09951303184484228,0.09485920753868538
