,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.049885375898482395,0.014669446124028747,3.4006311810757115,0.0006723046924940465,0.02113378982223536,0.07863696197472943
C(year)[T.2015],0.02484943237272045,0.00966808761201999,2.570253122429924,0.010162423126328242,0.005900328853783412,0.043798535891657484
C(year)[T.2016],0.015413840236436114,0.008836200021885274,1.7443969351372206,0.08108989907286279,-0.0019047935666510595,0.032732474039523285
C(year)[T.2017],0.01100147913701676,0.008353445546185036,1.3169989648212963,0.18783897155236495,-0.00537097328032243,0.02737393155435595
C(year)[T.2018],-0.002627463195366638,0.008277194775487343,-0.3174340180018222,0.7509142982536313,-0.018850466848344925,0.013595540457611651
C(year)[T.2019],0.012478720673885467,0.00819055975812938,1.5235491886253507,0.12762136428949863,-0.003574481465271215,0.02853192281304215
C(year)[T.2020],0.015104574906118665,0.008125551740894738,1.8588983724144545,0.06304154485655479,-0.0008212138605517595,0.03103036367278909
C(year)[T.2021],0.0136770341921022,0.007946114656196294,1.7212228597075423,0.08521039119210098,-0.0018970643510684108,0.02925113273527281
C(year)[T.2022],0.009799080622556005,0.007860522233383238,1.2466195415032106,0.21253703298630744,-0.00560725985455149,0.0252054210996635
C(year)[T.2023],-0.006722011956630929,0.00794786612360412,-0.8457631082470596,0.3976849096683638,-0.022299543312840973,0.008855519399579116
peer_esg_lag_loo,0.9156135551648974,0.029590636198820085,30.942678927646952,3.187415537003799e-210,0.8576169739355828,0.973610136394212
