,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.41647052591210904,0.04264326865746399,9.766383746458255,1.5695455443006927e-22,0.3328912551604139,0.5000497966638041
C(year)[T.2015],0.03139823850567823,0.009707937646485598,3.234285143667441,0.0012194763701825942,0.012371030354405923,0.050425446656950534
C(year)[T.2016],-0.014309526617414577,0.009308271194564587,-1.5372915462293786,0.12422193073162217,-0.03255340291709279,0.003934349682263638
C(year)[T.2017],-0.03529635894973059,0.00956430103301764,-3.6904274371834793,0.00022387754644155258,-0.0540420445117444,-0.016550673387716784
C(year)[T.2018],-0.0513240872890334,0.00958495711493558,-5.354649652950309,8.572234766453794e-08,-0.07011025802766807,-0.03253791655039872
C(year)[T.2019],-0.031216420426205246,0.00929705819063823,-3.3576664560020664,0.0007860340008780195,-0.0494383196420293,-0.012994521210381197
C(year)[T.2020],-0.013107957639798317,0.008600973225514692,-1.524008655312832,0.12750654907571962,-0.029965555393800414,0.0037496401142037786
C(year)[T.2021],0.0017245456651503446,0.008023141294313654,0.2149464407878002,0.8298090765039352,-0.014000522314580491,0.017449613644881182
C(year)[T.2022],0.017130777168974144,0.007934395406155158,2.1590526173783617,0.030846085053719836,0.001579647933809979,0.03268190640413831
C(year)[T.2023],0.011395223575903704,0.008252648947663489,1.380795869080309,0.1673417340104021,-0.004779671138569112,0.02757011829037652
C(ff12)[T.Consumer Non-Durables],0.026878054325617927,0.011774057822286292,2.2828199700822203,0.02244097513296159,0.0038013250420446953,0.04995478360919116
C(ff12)[T.Energy],-0.03953050648111033,0.012344285487360156,-3.202332489927207,0.00136319556544736,-0.06372486145121671,-0.015336151511003957
C(ff12)[T.Finance],-0.053339764516892846,0.009644199622261864,-5.530761142041045,3.188442426884424e-08,-0.0722420484362409,-0.0344374805975448
C(ff12)[T.Healthcare],-0.10222644844301733,0.013600249220147536,-7.516512880630019,5.625654098020602e-14,-0.12888244709527547,-0.0755704497907592
C(ff12)[T.Manufacturing],0.02039908347324309,0.00964126986473397,2.115808784469281,0.0343610736876485,0.0015025417731331508,0.03929562517335303
C(ff12)[T.Other],-0.03516134652630541,0.00957021166603507,-3.674040632883173,0.0002387447411404036,-0.05391861671615922,-0.01640407633645161
C(ff12)[T.Retail & Services],-0.005293940558210077,0.009575344602931657,-0.5528720665143733,0.5803510162131711,-0.024061271119516107,0.013473390003095956
C(ff12)[T.Technology],-0.002860968450335016,0.009227248797928377,-0.31005649820316283,0.7565179925205521,-0.02094604377066514,0.01522410686999511
C(ff12)[T.Telecom],-0.0844005875269038,0.015334623835341503,-5.503922915434475,3.71432003270583e-08,-0.11445589796064262,-0.05434527709316498
C(ff12)[T.Utilities],0.0631360045392865,0.013322588577051315,4.7390193110099315,2.1475503978560216e-06,0.037024210747421196,0.0892477983311518
peer_esg_lag_loo,0.10697082398773813,0.09377975941320615,1.1406600385527796,0.2540114222294583,-0.07683412694097705,0.29077577491645334
